TOP,JUNGLE,MIDDLE,BOTTOM,SUPPORT
Gangplank,Zac,Katarina,Aphelios,Janna
Mordekaiser,Gragas,Yasuo,Heimerdinger,Bard
Camille,Lee Sin,Ryze,Jhin,Shaco
Kayle,Graves,Kassadin,Kog'Maw,Lulu
Zac,Hecarim,Lux,Jhin,Taric
Kayle,Lee Sin,Yasuo,Ezreal,Bard
Kayle,Lee Sin,Yasuo,Heimerdinger,Karma
Lulu,Master Yi,Malzahar,Caitlyn,Thresh
Fiora,Graves,Vladimir,Jhin,Nautilus
Darius,Wukong,Xerath,Kai'Sa,Blitzcrank
Fiora,Graves,Kassadin,Ezreal,Shen
Rengar,Kayn,Lux,Vayne,Morgana
Urgot,Graves,Diana,Tristana,Bard
Fiora,Fiddlesticks,Anivia,Varus,Soraka
Fiora,Ekko,Zoe,Kai'Sa,Pyke
Mordekaiser,Kindred,Zed,Lux,Swain
Yasuo,Graves,Malphite,Caitlyn,Lulu
Warwick,Gragas,Vladimir,Lucian,Karma
Vladimir,Shaco,Qiyana,Ezreal,Vel'Koz
Ryze,Ekko,Akali,Tristana,Nautilus
Fiora,Graves,Malphite,Syndra,Thresh
Renekton,Elise,Vladimir,Caitlyn,Veigar
Akali,Sejuani,Ziggs,Xayah,Rakan
Sylas,Graves,Ezreal,Kai'Sa,Lulu
Malphite,Wukong,Irelia,Varus,Nami
Mordekaiser,Graves,Sylas,Lucian,Karma
Ornn,Kayn,Katarina,Jinx,Nami
Sett,Elise,Lissandra,Xayah,Sona
Kled,Vi,Sylas,Kalista,Thresh
Fiora,Ekko,Zed,Miss Fortune,Lulu
Poppy,Gragas,Diana,Lucian,Maokai
Fiora,Lee Sin,Malzahar,Kog'Maw,Lulu
Renekton,Elise,Vladimir,Tristana,Nami
Shen,Karthus,Lucian,Varus,Lulu
Ornn,Taliyah,Renekton,Miss Fortune,Sett
Sylas,Hecarim,Zilean,Yasuo,Lulu
Camille,Lee Sin,Vladimir,Ezreal,Yuumi
Graves,Syndra,Twisted Fate,Varus,Soraka
Mordekaiser,Nocturne,Ekko,Aphelios,Nautilus
Sylas,Graves,Talon,Ezreal,Lulu
Jax,Evelynn,Ziggs,Draven,Nautilus
Shen,Ekko,Syndra,Ezreal,Lulu
Irelia,Sejuani,Yasuo,Heimerdinger,Xerath
Aatrox,Zac,Sett,Ashe,Lulu
Sett,Ekko,Karma,Twitch,Lulu
Mordekaiser,Graves,Wukong,Lucian,Xerath
Renekton,Graves,Twisted Fate,Varus,Lux
Sett,Rek'Sai,Irelia,Ezreal,Yuumi
Akali,Ekko,Zoe,Lucian,Bard
Kennen,Vi,Diana,Caitlyn,Thresh
Darius,Zac,Orianna,Caitlyn,Nami
Renekton,Elise,Viktor,Ezreal,Nautilus
Garen,Lee Sin,Malzahar,Caitlyn,Lulu
Irelia,Kha'Zix,Sylas,Ezreal,Blitzcrank
Renekton,Elise,Heimerdinger,Kai'Sa,Nami
Maokai,Shaco,Diana,Yasuo,Alistar
Irelia,Graves,Ekko,Ezreal,Bard
Gangplank,Lee Sin,Diana,Miss Fortune,Thresh
Aatrox,Ekko,Orianna,Caitlyn,Thresh
Gangplank,Trundle,Katarina,Aphelios,Janna
Sett,Kha'Zix,Xerath,Swain,Taric
Wukong,Olaf,Sylas,Caitlyn,Nami
Kled,Kayn,Twisted Fate,Aphelios,Alistar
Fiora,Graves,Galio,Vayne,Blitzcrank
Yasuo,Karthus,Pyke,Ezreal,Gragas
Kayle,Olaf,Syndra,Kai'Sa,Taric
Urgot,Rammus,Veigar,Aphelios,Swain
Fiora,Sejuani,Fizz,Sivir,Pyke
Kled,Amumu,Anivia,Kai'Sa,Kalista
Fiora,Graves,Orianna,Ashe,Soraka
Shen,Rek'Sai,Ahri,Miss Fortune,Nautilus
Vladimir,Kayn,Talon,Ezreal,Lux
Fiora,Ekko,Irelia,Ezreal,Nami
Wukong,Karthus,Sylas,Jhin,Thresh
Camille,Ekko,Irelia,Xayah,Rakan
Malphite,Shaco,Syndra,Twitch,Thresh
Vladimir,Lee Sin,Yasuo,Miss Fortune,Teemo
Aatrox,Master Yi,Anivia,Vayne,Pyke
Sion,Sett,Sylas,Aphelios,Braum
Trundle,Rek'Sai,Diana,Kai'Sa,Nautilus
Wukong,Twisted Fate,Diana,Lucian,Bard
Darius,Nocturne,Irelia,Kai'Sa,Pyke
Camille,Rek'Sai,Aurelion Sol,Heimerdinger,Vel'Koz
Trundle,Olaf,Diana,Draven,Nautilus
Ornn,Olaf,Diana,Ezreal,Karma
Irelia,Lee Sin,Wukong,Vayne,Taric
Trundle,Shyvana,Neeko,Xayah,Rakan
Garen,Jarvan IV,Kassadin,Kai'Sa,Lulu
Camille,Morgana,Lux,Varus,Leona
Jax,Sejuani,Sylas,Ashe,Nautilus
Tryndamere,Karthus,Vladimir,Yasuo,Blitzcrank
Sylas,Kayn,Pantheon,Rengar,Ivern
Irelia,Graves,Orianna,Draven,Janna
Ornn,Evelynn,LeBlanc,Jhin,Nami
Gnar,Nidalee,Lulu,Kai'Sa,Soraka
Yasuo,Wukong,Kassadin,Kalista,Blitzcrank
Sion,Kha'Zix,Syndra,Caitlyn,Nami
Aatrox,Sejuani,Rumble,Sivir,Bard
Shen,Zac,Talon,Lucian,Karma
Aatrox,Graves,Kassadin,Ezreal,Nautilus
Fiora,Olaf,Ziggs,Ezreal,Nami
Garen,Nocturne,Graves,Kai'Sa,Zyra
Irelia,Lee Sin,Lux,Kalista,Lulu
Lissandra,Jarvan IV,Sett,Kog'Maw,Veigar
Volibear,Rek'Sai,Ahri,Ezreal,Malphite
Irelia,Warwick,Yasuo,Kai'Sa,Fiddlesticks
Irelia,Lee Sin,Kassadin,Aphelios,Nami
Shen,Amumu,Qiyana,Varus,Senna
Gangplank,Lee Sin,Fizz,Aphelios,Braum
Illaoi,Nunu & Willump,Vladimir,Lucian,Taric
Aatrox,Lee Sin,Vladimir,Senna,Brand
Fiora,Trundle,Zoe,Vayne,Lulu
Tryndamere,Gragas,Yasuo,Caitlyn,Yuumi
Garen,Lee Sin,Twisted Fate,Ezreal,Senna
Malphite,Nidalee,Vel'Koz,Miss Fortune,Janna
Camille,Gragas,Yasuo,Vayne,Braum
Sett,Olaf,Kassadin,Cho'Gath,Pyke
Aatrox,Gragas,Qiyana,Yasuo,Alistar
Gangplank,Elise,Kassadin,Lucian,Leona
Darius,Karthus,Irelia,Jinx,Thresh
Vladimir,Elise,Yasuo,Senna,Leona
Renekton,Kha'Zix,Ryze,Varus,Zyra
Maokai,Jarvan IV,Diana,Tristana,Leona
Camille,Gragas,Ekko,Kai'Sa,Nami
Camille,Lee Sin,Diana,Caitlyn,Lux
Fiora,Jarvan IV,Veigar,Ezreal,Bard
Camille,Jarvan IV,Galio,Kai'Sa,Janna
Maokai,Rengar,Vladimir,Vayne,Leona
Shen,Jarvan IV,Akali,Jinx,Swain
Gragas,Rek'Sai,Veigar,Caitlyn,Nautilus
Shen,Jarvan IV,Orianna,Vayne,Bard
Sion,Graves,Kassadin,Ezreal,Karma
Ornn,Elise,Lucian,Vayne,Lux
Jax,Rammus,Corki,Twitch,Lulu
Aatrox,Jarvan IV,Nunu & Willump,Ashe,Brand
Gnar,Volibear,Orianna,Ezreal,Bard
Karthus,Jarvan IV,Zed,Ashe,Thresh
Irelia,Rek'Sai,Lissandra,Kai'Sa,Nami
Shen,Jarvan IV,Vel'Koz,Draven,Pyke
Darius,Kha'Zix,Xerath,Taliyah,Senna
Mordekaiser,Vi,Katarina,Draven,Karma
Sion,Jarvan IV,Orianna,Jhin,Senna
Shen,Jarvan IV,Ahri,Miss Fortune,Senna
Karma,Master Yi,Vel'Koz,Caitlyn,Morgana
Kled,Zac,Corki,Kai'Sa,Nautilus
Urgot,Jarvan IV,Karthus,Vayne,Xerath
Maokai,Jarvan IV,Vladimir,Kai'Sa,Yuumi
Sion,Lee Sin,Twisted Fate,Jhin,Zilean
Volibear,Kayn,Fizz,Ezreal,Lulu
Sion,Rengar,Katarina,Fiora,Taric
Renekton,Rammus,Orianna,Lucian,Bard
Gangplank,Jarvan IV,Vladimir,Jhin,Nautilus
Darius,Jarvan IV,Zed,Kai'Sa,Sona
Renekton,Evelynn,Twisted Fate,Soraka,Xerath
Camille,Jarvan IV,Karthus,Ezreal,Soraka
Wukong,Fiddlesticks,Heimerdinger,Aphelios,Senna
Tryndamere,Jarvan IV,Kennen,Ezreal,Lulu
Maokai,Nidalee,Corki,Aphelios,Senna
Jax,Jarvan IV,Qiyana,Miss Fortune,Blitzcrank
Garen,Fiddlesticks,Katarina,Tristana,Janna
Vladimir,Nidalee,Lucian,Jhin,Nami
Tryndamere,Jarvan IV,Syndra,Kalista,Senna
Fiora,Nidalee,Syndra,Tristana,Thresh
Ornn,Jarvan IV,Ahri,Ashe,Yuumi
Quinn,Nocturne,Orianna,Caitlyn,Xerath
Renekton,Jarvan IV,Rumble,Ezreal,Sett
Wukong,Fiddlesticks,Orianna,Vayne,Lulu
Sylas,Jarvan IV,Ahri,Ezreal,Janna
Kled,Graves,Ahri,Tristana,Senna
Volibear,Jarvan IV,Viktor,Varus,Sona
Vladimir,Nunu & Willump,Lucian,Aphelios,Neeko
Jax,Jarvan IV,Lux,Kalista,Karma
Renekton,Jarvan IV,Zoe,Draven,Thresh
Kennen,Vi,Irelia,Varus,Xerath
Maokai,Nocturne,LeBlanc,Aphelios,Janna
Gangplank,Olaf,Annie,Ezreal,Xerath
Aatrox,Elise,Katarina,Jhin,Soraka
Sett,Jarvan IV,Fizz,Kai'Sa,Lulu
Malphite,Elise,Pantheon,Ezreal,Soraka
Sett,Jarvan IV,Katarina,Jhin,Braum
Sion,Twitch,Galio,Ezreal,Lulu
Mordekaiser,Jarvan IV,Lux,Kai'Sa,Zyra
Maokai,Jarvan IV,Kassadin,Varus,Pyke
Darius,Nidalee,Sylas,Draven,Janna
Riven,Vi,Syndra,Kai'Sa,Pyke
Renekton,Jarvan IV,Zoe,Heimerdinger,Sett
Sett,Zac,Kassadin,Ezreal,Yuumi
Fiora,Fiddlesticks,Vladimir,Kai'Sa,Janna
Jax,Jarvan IV,Lux,Jhin,Nami
Gnar,Lee Sin,Ziggs,Lucian,Janna
Malphite,Fiddlesticks,Ryze,Miss Fortune,Nautilus
Darius,Lee Sin,Fizz,Varus,Galio
Darius,Jarvan IV,Zed,Kai'Sa,Lulu
Jayce,Hecarim,Katarina,Ashe,Nautilus
Renekton,Shaco,Vladimir,Kai'Sa,Swain
Darius,Jarvan IV,Yasuo,Lucian,Bard
Cho'Gath,Graves,Sylas,Tristana,Nautilus
Kled,Zac,Orianna,Caitlyn,Thresh
Kayn,Lee Sin,Lissandra,Tristana,Soraka
Ornn,Jarvan IV,Ryze,Vayne,Janna
Vayne,Graves,Fizz,Varus,Galio
Darius,Jarvan IV,Kassadin,Xerath,Zyra
Camille,Jarvan IV,Orianna,Ziggs,Janna
Wukong,Shaco,Syndra,Caitlyn,Soraka
Darius,Kayn,Ekko,Kalista,Leona
Wukong,Jarvan IV,Katarina,Kai'Sa,Yuumi
Urgot,Jarvan IV,Diana,Varus,Bard
Kayn,Sejuani,Lux,Viktor,Lulu
Irelia,Warwick,Vladimir,Sivir,Yuumi
Shen,Kayn,Heimerdinger,Lucian,Leona
Vayne,Jarvan IV,Vladimir,Tristana,Blitzcrank
Shen,Rengar,Ahri,Sivir,Leona
Aatrox,Lee Sin,Lissandra,Ezreal,Senna
Gnar,Fiddlesticks,Syndra,Vayne,Soraka
Gragas,Trundle,Sett,Ezreal,Yuumi
Katarina,Jarvan IV,Kayle,Miss Fortune,Janna
Gnar,Jarvan IV,Diana,Kai'Sa,Vel'Koz
Dr. Mundo,Nocturne,Lissandra,Tristana,Swain
Illaoi,Jarvan IV,Cassiopeia,Tristana,Blitzcrank
Irelia,Olaf,Lucian,Ziggs,Karma
Sylas,Shyvana,Yasuo,Varus,Lulu
Ryze,Olaf,Katarina,Ashe,Yuumi
Volibear,Kayn,Yasuo,Caitlyn,Janna
Ornn,Xin Zhao,Diana,Jinx,Lulu
Kayn,Graves,Lux,Caitlyn,Morgana
Viktor,Jarvan IV,Vladimir,Jhin,Thresh
Garen,Jarvan IV,Twisted Fate,Jhin,Karma
Sylas,Graves,Kassadin,Ezreal,Nautilus
Vladimir,Zac,LeBlanc,Aphelios,Sett
Fiora,Kayn,Kassadin,Kai'Sa,Blitzcrank
Darius,Shyvana,Rumble,Jayce,Taric
Malphite,Nunu & Willump,Cassiopeia,Aphelios,Vel'Koz
Vladimir,Kayn,Jayce,Vayne,Karma
Fiora,Trundle,Cho'Gath,Ashe,Veigar
Vladimir,Jarvan IV,Ahri,Kai'Sa,Karma
Kayn,Hecarim,Talon,Ezreal,Morgana
Maokai,Rek'Sai,Katarina,Jhin,Bard
Fiora,Jarvan IV,Sylas,Vayne,Lulu
Poppy,Kha'Zix,Lux,Kalista,Taric
Malphite,Jarvan IV,Ahri,Kog'Maw,Lulu
Fiora,Graves,Diana,Ezreal,Pyke
Renekton,Olaf,Malphite,Ziggs,Thresh
Fiora,Zac,Galio,Ezreal,Zyra
Malphite,Kindred,Syndra,Yasuo,Karma
Renekton,Sejuani,Viktor,Caitlyn,Karma
Cassiopeia,Graves,Katarina,Yasuo,Sett
Olaf,Jarvan IV,Pantheon,Vayne,Yuumi
Darius,Jax,Zoe,Ezreal,Vladimir
Malphite,Jarvan IV,LeBlanc,Sivir,Nautilus
Nasus,Ekko,Lissandra,Kalista,Blitzcrank
Fiora,Jarvan IV,Orianna,Ashe,Yuumi
Teemo,Shyvana,Ekko,Vayne,Soraka
Darius,Shyvana,Rumble,Sivir,Vel'Koz
Neeko,Brand,Aatrox,Ezreal,Rakan
Kayle,Kindred,Rumble,Ashe,Pyke
Diana,Shaco,Shen,Miss Fortune,Karma
Wukong,Lee Sin,Rumble,Xayah,Pyke
Maokai,Rek'Sai,Syndra,Draven,Soraka
Fiora,Amumu,Ahri,Ezreal,Janna
Maokai,Master Yi,Vladimir,Aphelios,Lulu
Yasuo,Ekko,Vladimir,Caitlyn,Zoe
Irelia,Lee Sin,LeBlanc,Twitch,Lulu
Gnar,Jarvan IV,Viktor,Kai'Sa,Pyke
Irelia,Lee Sin,Twisted Fate,Jinx,Maokai
Malphite,Lee Sin,Syndra,Kai'Sa,Nami
Renekton,Jarvan IV,Twitch,Neeko,Annie
Jax,Jarvan IV,Lux,Ezreal,Nami
Karma,Lee Sin,Yasuo,Ziggs,Tahm Kench
Garen,Shyvana,Orianna,Ezreal,Yuumi
Sylas,Jarvan IV,Irelia,Kai'Sa,Brand
Garen,Ekko,Maokai,Ezreal,Sona
Riven,Camille,Kassadin,Caitlyn,Nautilus
Fiora,Warwick,Lissandra,Caitlyn,Karma
Cho'Gath,Master Yi,Renekton,Yasuo,Taric
Irelia,Jarvan IV,Mordekaiser,Draven,Thresh
Sylas,Shaco,Sett,Ezreal,Yuumi
Camille,Graves,Cassiopeia,Kai'Sa,Galio
Kayle,Jarvan IV,Syndra,Lucian,Braum
Jax,Lee Sin,Vladimir,Lucian,Janna
Garen,Sejuani,Kassadin,Maokai,Senna
Singed,Jarvan IV,Zed,Vayne,Thresh
Darius,Rek'Sai,Pantheon,Miss Fortune,Yuumi
Sett,Elise,Ekko,Aphelios,Lulu
Jayce,Jarvan IV,Sylas,Miss Fortune,Bard
Fiora,Ekko,Annie,Draven,Leona
Renekton,Master Yi,Katarina,Varus,Taric
Shen,Sejuani,Talon,Ezreal,Lux
Mordekaiser,Jarvan IV,Xerath,Miss Fortune,Leona
Kled,Lee Sin,Aurelion Sol,Ashe,Thresh
Renekton,Jarvan IV,Katarina,Kai'Sa,Nautilus
Maokai,Jarvan IV,Lulu,Caitlyn,Thresh
Kayle,Morgana,Talon,Kai'Sa,Yuumi
Fiora,Warwick,Zed,Miss Fortune,Xerath
Malphite,Jarvan IV,Brand,Varus,Zilean
Kennen,Jarvan IV,Zed,Jhin,Janna
Renekton,Nunu & Willump,Diana,Ezreal,Xerath
Fiora,Kha'Zix,Vladimir,Vayne,Nautilus
Maokai,Jarvan IV,LeBlanc,Tristana,Nami
Volibear,Poppy,Ekko,Caitlyn,Leona
Ornn,Jarvan IV,Ahri,Ezreal,Nami
Darius,Rek'Sai,Katarina,Ezreal,Yuumi
Fiora,Jarvan IV,Taliyah,Kalista,Braum
Twisted Fate,Jarvan IV,Azir,Heimerdinger,Zyra
Sett,Kindred,Aurelion Sol,Caitlyn,Leona
Irelia,Ekko,Cassiopeia,Aphelios,Thresh
Gangplank,Jarvan IV,Yasuo,Miss Fortune,Lulu
Maokai,Master Yi,Xerath,Jhin,Blitzcrank
Fiora,Rek'Sai,Cassiopeia,Lucian,Janna
Irelia,Kayn,Kassadin,Ezreal,Senna
Shen,Jarvan IV,Vel'Koz,Aphelios,Brand
Sett,Gragas,Qiyana,Ahri,Pyke
Kayle,Jarvan IV,Anivia,Jinx,Janna
Maokai,Jarvan IV,Viktor,Ezreal,Pyke
Tryndamere,Ekko,Diana,Varus,Janna
Fiora,Jarvan IV,Vladimir,Tristana,Vel'Koz
Darius,Zac,Diana,Jhin,Rakan
Sett,Jarvan IV,Vladimir,Senna,Vel'Koz
Ornn,Volibear,Orianna,Ashe,Zilean
Urgot,Sejuani,Vel'Koz,Aphelios,Lulu
Kennen,Jarvan IV,Kassadin,Twitch,Yuumi
Renekton,Jarvan IV,Cassiopeia,Miss Fortune,Janna
Shen,Wukong,Taric,Ekko,Yuumi
Graves,Jarvan IV,Diana,Jax,Teemo
Sett,Elise,Vladimir,Kai'Sa,Leona
Kayle,Rengar,Galio,Miss Fortune,Leona
Irelia,Jarvan IV,Zilean,Kai'Sa,Taric
Karthus,Lee Sin,Pantheon,Sivir,Zyra
Kalista,Jarvan IV,Yasuo,Twitch,Nautilus
Fiora,Camille,Sylas,Jhin,Thresh
Sett,Lee Sin,Malzahar,Aphelios,Taric
Shen,Gragas,Heimerdinger,Lucian,Nami
Warwick,Lee Sin,Syndra,Senna,Bard
Poppy,Gragas,Syndra,Miss Fortune,Nautilus
Cho'Gath,Master Yi,Ekko,Ezreal,Yuumi
Malphite,Kha'Zix,Ekko,Ezreal,Senna
Maokai,Sett,Diana,Kai'Sa,Pyke
Camille,Jarvan IV,Syndra,Lucian,Thresh
Vladimir,Sejuani,Irelia,Draven,Nautilus
Darius,Sejuani,Fiora,Lucian,Nautilus
Riven,Shaco,Zed,Cassiopeia,Yuumi
Fiora,Olaf,Talon,Lucian,Braum
Shen,Ekko,Fizz,Jhin,Thresh
Darius,Kha'Zix,Fizz,Caitlyn,Thresh
Ryze,Lee Sin,Galio,Kai'Sa,Nautilus
Ornn,Rek'Sai,Sylas,Caitlyn,Nautilus
Heimerdinger,Lee Sin,Ekko,Ashe,Tahm Kench
Jax,Kayn,Malphite,Draven,Thresh
Darius,Rek'Sai,LeBlanc,Jhin,Leona
Ornn,Elise,Syndra,Caitlyn,Leona
Vayne,Kha'Zix,Jayce,Jhin,Morgana
Mordekaiser,Ivern,Diana,Miss Fortune,Yuumi
Sett,Evelynn,Katarina,Kalista,Lulu
Ornn,Sejuani,Cassiopeia,Aphelios,Thresh
Kayle,Trundle,Malzahar,Senna,Rumble
Ornn,Zac,Ekko,Yasuo,Lulu
Garen,Kayn,Pantheon,Aphelios,Vel'Koz
Garen,Zac,Veigar,Vayne,Lulu
Sylas,Graves,Diana,Wukong,Yuumi
Riven,Jarvan IV,Syndra,Jhin,Pyke
Jax,Zac,Veigar,Vayne,Lulu
Ornn,Ekko,Diana,Xayah,Nautilus
Malphite,Zac,Rumble,Jhin,Pantheon
Yasuo,Trundle,Aatrox,Jhin,Zilean
Malphite,Ekko,Renekton,Taric,Senna
Ornn,Gragas,Viktor,Kalista,Rakan
Renekton,Lee Sin,Yasuo,Syndra,Alistar
Ornn,Kha'Zix,Diana,Senna,Soraka
Vladimir,Lee Sin,Camille,Kai'Sa,Pyke
Vladimir,Lee Sin,Graves,Ezreal,Nami
Senna,Talon,Nocturne,Heimerdinger,Xerath
Malphite,Kha'Zix,Fizz,Xayah,Rakan
Trundle,Lee Sin,Malzahar,Miss Fortune,Thresh
Mordekaiser,Gragas,Annie,Vayne,Nami
Ornn,Zac,Zed,Aphelios,Lux
Renekton,Amumu,Kayle,Miss Fortune,Rakan
Lucian,Lee Sin,Kassadin,Senna,Yuumi
Garen,Amumu,Zed,Ezreal,Taric
Fiora,Volibear,Azir,Xayah,Nami
Irelia,Rek'Sai,Qiyana,Draven,Soraka
Fiora,Sylas,Diana,Aphelios,Fiddlesticks
Sylas,Sejuani,Zoe,Draven,Leona
Sett,Lee Sin,Ekko,Ezreal,Thresh
Singed,Lee Sin,Pyke,Xayah,Nami
Camille,Shaco,Orianna,Syndra,Rakan
Nasus,Lee Sin,Yasuo,Jhin,Nautilus
Sett,Fiddlesticks,Ziggs,Miss Fortune,Pyke
Camille,Sejuani,Pyke,Lucian,Rakan
Fiora,Lee Sin,Vladimir,Syndra,Thresh
Gangplank,Master Yi,Pyke,Twitch,Thresh
Fiora,Lee Sin,Ziggs,Lucian,Zyra
Jax,Lee Sin,Neeko,Aphelios,Thresh
Aatrox,Zac,Ekko,Kalista,Pyke
Nasus,Olaf,Ahri,Senna,Bard
Mordekaiser,Gragas,Talon,Lucian,Nami
Irelia,Amumu,Malphite,Aphelios,Brand
Cassiopeia,Lee Sin,Pyke,Lucian,Nautilus
Fiora,Jarvan IV,Fizz,Irelia,Shen
Jax,Karthus,Zed,Yasuo,Thresh
Soraka,Lee Sin,Katarina,Aphelios,Leona
Riven,Taliyah,Sylas,Miss Fortune,Nautilus
Soraka,Fiddlesticks,Katarina,Xayah,Leona
Nasus,Lee Sin,Qiyana,Sett,Nautilus
Pantheon,Graves,Galio,Ezreal,Morgana
Sylas,Lee Sin,Qiyana,Ashe,Brand
Renekton,Elise,LeBlanc,Lucian,Blitzcrank
Fiora,Rek'Sai,Vel'Koz,Jhin,Thresh
Quinn,Gragas,Zoe,Miss Fortune,Leona
Soraka,Kindred,Ryze,Jhin,Bard
Vladimir,Lee Sin,Yasuo,Vayne,Lulu
Mordekaiser,Nidalee,Aurelion Sol,Aphelios,Leona
Vladimir,Fiddlesticks,Pantheon,Vayne,Janna
Kayle,Lee Sin,Ziggs,Caitlyn,Pyke
Tryndamere,Lee Sin,Lux,Aphelios,Janna
Mordekaiser,Udyr,Xerath,Miss Fortune,Leona
Malphite,Kha'Zix,Lulu,Sona,Yuumi
Mordekaiser,Lee Sin,Fizz,Ezreal,Senna
Pantheon,Lee Sin,Lux,Ezreal,Fiddlesticks
Vayne,Taliyah,Talon,Varus,Vel'Koz
Fiora,Olaf,Veigar,Aphelios,Braum
Gnar,Sejuani,Anivia,Xayah,Leona
Soraka,Olaf,Malzahar,Sivir,Zyra
Irelia,Gragas,Shen,Lucian,Nami
Fiora,Nocturne,Lux,Kai'Sa,Soraka
Wukong,Sejuani,Galio,Varus,Janna
Fiora,Gragas,Ahri,Caitlyn,Morgana
Cho'Gath,Kayn,Diana,Syndra,Leona
Akali,Pantheon,Taliyah,Lucian,Pyke
Poppy,Ekko,Katarina,Vayne,Braum
Lucian,Rengar,Ahri,Vayne,Lulu
Riven,Shyvana,Zed,Cassiopeia,Nami
Fiora,Lee Sin,Yasuo,Heimerdinger,Nautilus
Lucian,Urgot,Zed,Cassiopeia,Janna
Mordekaiser,Warwick,Cassiopeia,Taliyah,Bard
Skarner,Rammus,Zilean,Lucian,Nami
Volibear,Graves,LeBlanc,Vayne,Pyke
Akali,Elise,Azir,Twitch,Nami
Ornn,Rek'Sai,Vladimir,Senna,Volibear
Vayne,Rumble,Ezreal,Varus,Leona
Sett,Nocturne,Ahri,Aphelios,Braum
Fiora,Taliyah,Galio,Senna,Blitzcrank
Malphite,Hecarim,Katarina,Miss Fortune,Sona
Fiora,Ekko,Ahri,Tristana,Pyke
Illaoi,Vi,Sylas,Senna,Thresh
Kayle,Sett,Vladimir,Vayne,Nautilus
Nasus,Sett,Twisted Fate,Aphelios,Lulu
Fiora,Ivern,Kassadin,Vladimir,Lux
Fiora,Kayn,Rakan,Caitlyn,Lulu
Aatrox,Lee Sin,Vladimir,Tristana,Nami
Aatrox,Taliyah,Veigar,Lucian,Karma
Vayne,Shaco,Fizz,Aphelios,Nami
Akali,Jarvan IV,Kayn,Aphelios,Braum
Renekton,Karthus,Diana,Lucian,Xerath
Jax,Taliyah,Renekton,Miss Fortune,Brand
Fiora,Nidalee,Cho'Gath,Jhin,Swain
Shen,Kindred,Diana,Ziggs,Nami
Sett,Jarvan IV,Ekko,Illaoi,Swain
Mordekaiser,Lee Sin,Cassiopeia,Kai'Sa,Zilean
Camille,Diana,Lux,Vayne,Thresh
Fiora,Maokai,Sylas,Lucian,Lulu
Tryndamere,Zac,Lux,Jinx,Vel'Koz
Fiora,Kha'Zix,Diana,Lucian,Nami
Malphite,Kayn,Zilean,Jhin,Janna
Sett,Jarvan IV,Akali,Jinx,Tahm Kench
Jax,Elise,Galio,Senna,Thresh
Fiora,Nidalee,Sylas,Draven,Zilean
Kennen,Kayn,Syndra,Miss Fortune,Thresh
Gnar,Rammus,Yasuo,Lucian,Senna
Fiora,Nunu & Willump,Ryze,Aphelios,Thresh
Camille,Nocturne,Sylas,Lucian,Blitzcrank
Kennen,Kha'Zix,Zilean,Ezreal,Senna
Kennen,Lee Sin,Yasuo,Tristana,Janna
Akali,Zac,Talon,Miss Fortune,Nautilus
Gnar,Rengar,Kassadin,Ezreal,Lulu
Aatrox,Zac,Vladimir,Tristana,Senna
Sion,Fiddlesticks,Brand,Aphelios,Karma
Sett,Olaf,Qiyana,Taliyah,Nautilus
Gangplank,Evelynn,Vladimir,Jinx,Nami
Malphite,Gragas,Vel'Koz,Yasuo,Alistar
Shen,Dr. Mundo,Ziggs,Vayne,Pyke
Mordekaiser,Zac,Ahri,Aphelios,Leona
Singed,Gragas,Cassiopeia,Senna,Brand
Fiora,Twitch,Katarina,Jhin,Nami
Rumble,Warwick,Sylas,Aphelios,Thresh
Renekton,Volibear,Fiora,Vayne,Taric
Gangplank,Jarvan IV,Zed,Veigar,Senna
Fiora,Olaf,Aurelion Sol,Jhin,Leona
Fiora,Kha'Zix,Zilean,Jhin,Nami
Mordekaiser,Vi,LeBlanc,Senna,Vel'Koz
Vladimir,Rek'Sai,Sylas,Xayah,Leona
Ornn,Rengar,Qiyana,Veigar,Senna
Malphite,Rek'Sai,Orianna,Kai'Sa,Nautilus
Fiora,Trundle,Irelia,Vayne,Thresh
Gangplank,Ekko,Cassiopeia,Ashe,Leona
Vladimir,Zac,Pyke,Caitlyn,Senna
Sett,Kayn,Zed,Vayne,Lulu
Cassiopeia,Trundle,Qiyana,Senna,Pyke
Gragas,Kha'Zix,Ekko,Twitch,Lulu
Karma,Rengar,Kassadin,Ashe,Vel'Koz
Sion,Kayn,Fizz,Kalista,Leona
Taliyah,Kha'Zix,LeBlanc,Morgana,Senna
Aatrox,Shyvana,Orianna,Kalista,Pyke
Gragas,Rek'Sai,LeBlanc,Twitch,Lulu
Darius,Jarvan IV,Vel'Koz,Jhin,Thresh
Jayce,Fiddlesticks,Ekko,Vayne,Karma
Tryndamere,Ivern,Rumble,Ashe,Morgana
Kled,Olaf,Zoe,Draven,Rakan
Malphite,Shaco,Kassadin,Twitch,Karma
Aatrox,Rek'Sai,Qiyana,Veigar,Thresh
Ornn,Nunu & Willump,Corki,Ezreal,Nautilus
Aatrox,Elise,Orianna,Vayne,Yuumi
Volibear,Ivern,Kog'Maw,Draven,Maokai
Irelia,Olaf,Zoe,Miss Fortune,Taric
Fiora,Rammus,Zed,Twitch,Janna
Aatrox,Rek'Sai,Syndra,Draven,Lulu
Garen,Warwick,Vel'Koz,Volibear,Nautilus
